6hTsKE8lmOZ9ofC9Vb2ZDg##Thai-:9,Buffets-:8,Burgers-:7,Sushi Bars-:7,Hot Dogs-:6,Sandwiches-:6,Seafood-:5,Vietnamese-:4,Italian-:3,American (New)-:3,Mexican-:3
QL5wCkQz_5AS8HLGEIKpbg##Fast Food-:2,Soup-:1,Specialty Food-:1,Comfort Food-:1,Nutritionists-:1,Health & Medical-:1,Health Markets-:1,Chinese-:1,Sushi Bars-:1,Sandwiches-:1,Chicken Shop-:1
Q5Aw8LFYRYrCZJXEzurIfQ##Specialty Food-:2,Grocery-:2,Coffee & Tea-:2,Mexican-:2,Breakfast & Brunch-:2,Pizza-:2,Indian-:2,Italian-:1,Steakhouses-:1,Seafood-:1,Desserts-:1
kw8py3MrNYdCyWrNvL5M6Q##American (Traditional)-:9,Nightlife-:6,Bars-:6,Italian-:5,American (New)-:5,Steakhouses-:4,Breakfast & Brunch-:4,Burgers-:3,Pizza-:3,Wine Bars-:3,Chinese-:3
hRdhlyNVtVvcf7oLn2J1Xw##Nightlife-:12,Bars-:12,American (New)-:10,American (Traditional)-:6,Breakfast & Brunch-:6,Italian-:5,Seafood-:5,Sushi Bars-:5,Steakhouses-:4,Coffee & Tea-:4,Mexican-:4
PfLQZx6wQY8NVas2W0Dh2Q##Mexican-:3,Breakfast & Brunch-:3,Italian-:2,American (Traditional)-:2,Cafes-:2,Pizza-:2,American (New)-:1,Comfort Food-:1,Asian Fusion-:1,Burgers-:1,Szechuan-:1
M60YZAm5G1FmO30GRb7gGQ##American (New)-:2,Steakhouses-:1,American (Traditional)-:1,Donuts-:1,Seafood-:1,Cafes-:1,Japanese-:1,Nightlife-:1,Diners-:1,Hawaiian-:1,Sushi Bars-:1
0nwGDBBbMyu1wUGhmVtMnw##American (New)-:4,Nightlife-:4,Bars-:4,Seafood-:3,Mexican-:1,Steakhouses-:1,Asian Fusion-:1,Burgers-:1,Desserts-:1,Japanese-:1,Sports Bars-:1
kH1fW7g_ZfURHsNkUb9TJA##Grocery-:9,Japanese-:9,Sushi Bars-:8,Hawaiian-:5,Thai-:5,Mexican-:4,Mediterranean-:4,Specialty Food-:3,Burgers-:3,Nightlife-:3,Korean-:3
vzTqQHtC0lHzBYsl2Jbs8Q##American (New)-:4,Mexican-:4,American (Traditional)-:4,Vegetarian-:2,Nightlife-:2,Mediterranean-:2,Bars-:2,Italian-:1,Breakfast & Brunch-:1,Asian Fusion-:1,Local Flavor-:1
mImt49PheWqFuLPsSyg6Ng##Mexican-:7,Pizza-:3,Gluten-Free-:2,Thai-:2,American (Traditional)-:1,Breakfast & Brunch-:1,Burgers-:1,Asian Fusion-:1,Seafood-:1,Fast Food-:1,Cafes-:1
